No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,URL,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,Trae Young,PG,6-1,164.0,"September 19, 1998",usUS,6,Oklahoma,ATL,https://www.basketball-reference.com/players/y/youngtr01.html,2024-25,26,ATL,NBA,60.0,60.0,36.2,7.4,18.2,0.404,2.8,8.6,0.325,4.6,9.6,0.476,0.481,6.3,7.3,0.867,0.4,2.7,3.1,11.5,1.1,0.2,4.8,2.0,23.8
5,Dyson Daniels,SG,6-8,199.0,"March 17, 2003",auAU,2,,ATL,https://www.basketball-reference.com/players/d/daniedy01.html,2024-25,21,ATL,NBA,59.0,59.0,34.0,5.9,12.2,0.481,1.1,3.2,0.349,4.8,9.0,0.527,0.526,1.1,1.9,0.589,1.6,4.0,5.6,4.1,3.0,0.7,1.8,2.5,13.9
17,Onyeka Okongwu,C,6-8,235.0,"December 11, 2000",usUS,4,USC,ATL,https://www.basketball-reference.com/players/o/okongon01.html,2024-25,24,ATL,NBA,57.0,23.0,26.4,5.1,8.8,0.577,0.4,1.6,0.275,4.6,7.2,0.645,0.602,2.1,2.9,0.732,3.0,5.5,8.4,2.2,0.9,0.9,1.1,2.4,12.6
10,Zaccharie Risacher,0.0,6-8,200.0,"April 8, 2005",esES,R,,ATL,https://www.basketball-reference.com/players/r/risacza01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Clint Capela,0.0,6-10,240.0,"May 18, 1994",chCH,10,,ATL,https://www.basketball-reference.com/players/c/capelcl01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Garrison Mathews,SG,6-5,215.0,"October 24, 1996",usUS,5,Lipscomb,ATL,https://www.basketball-reference.com/players/m/mathega01.html,2024-25,28,ATL,NBA,44.0,2.0,17.6,2.2,5.5,0.397,1.8,4.7,0.39,0.4,0.8,0.432,0.562,1.4,1.8,0.818,0.3,1.5,1.8,1.3,0.6,0.3,0.7,1.8,7.6
27,Vit Krejci,0.0,6-8,195.0,"June 19, 2000",czCZ,3,,ATL,https://www.basketball-reference.com/players/k/krejcvi01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jalen Johnson,PF,6-9,220.0,"December 18, 2001",usUS,3,Duke,ATL,https://www.basketball-reference.com/players/j/johnsja01.html,2024-25,37,IND,NBA,11.0,0.0,3.0,0.4,0.8,0.444,0.0,0.3,0.0,0.4,0.5,0.667,0.444,0.0,0.1,0.0,0.0,0.5,0.5,0.4,0.0,0.2,0.4,0.4,0.7
2,Keaton Wallace(TW),0.0,6-3,195.0,"February 26, 1999",usUS,R,Texas-San Antonio,ATL,https://www.basketball-reference.com/players/w/wallake01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Larry Nance Jr.,0.0,6-8,245.0,"January 1, 1993",usUS,9,Wyoming,ATL,https://www.basketball-reference.com/players/j/jr.lala01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Dominick Barlow,0.0,6-9,221.0,"May 26, 2003",usUS,2,,ATL,https://www.basketball-reference.com/players/b/barlodo01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Mouhamed Gueye,0.0,6-11,210.0,"November 9, 2002",snSN,1,Washington State,ATL,https://www.basketball-reference.com/players/g/gueyemo01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Caris LeVert,SG,6-6,205.0,"August 25, 1994",usUS,8,Michigan,ATL,https://www.basketball-reference.com/players/l/leverca01.html,2024-25,30,ATL,NBA,12.0,0.0,28.6,6.5,12.8,0.51,1.9,5.5,0.348,4.6,7.3,0.632,0.585,1.9,2.6,0.742,0.8,3.1,3.8,2.6,0.9,0.6,0.8,2.1,16.8
14,Terance Mann,0.0,6-5,215.0,"October 18, 1996",usUS,5,Florida State,ATL,https://www.basketball-reference.com/players/m/manntte01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Georges Niang,PF,6-7,230.0,"June 17, 1993",usUS,8,Iowa State,ATL,https://www.basketball-reference.com/players/n/niangge01.html,2024-25,31,ATL,NBA,11.0,1.0,26.8,4.9,11.1,0.443,2.9,7.2,0.405,2.0,3.9,0.512,0.574,0.9,1.1,0.833,0.6,4.0,4.6,1.9,0.5,0.5,0.6,2.7,13.6
4,Kobe Bufkin,0.0,6-4,195.0,"September 21, 2003",usUS,1,Michigan,ATL,https://www.basketball-reference.com/players/b/bufkiko01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Daeqwon Plowden(TW),0.0,6-6,215.0,"August 29, 1998",usUS,R,Bowling Green,ATL,https://www.basketball-reference.com/players/p/plowdda01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Jacob Toppin(TW),0.0,6-9,205.0,"May 8, 2000",usUS,1,"Rhode Island,Kentucky",ATL,https://www.basketball-reference.com/players/t/toppija01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Payton Pritchard,PG,6-1,195.0,"January 28, 1998",usUS,4,Oregon,BOS,https://www.basketball-reference.com/players/p/pritcpa01.html,2024-25,27,BOS,NBA,63.0,0.0,28.1,5.0,10.5,0.477,3.3,7.8,0.423,1.7,2.7,0.633,0.634,1.0,1.1,0.857,1.3,2.5,3.8,3.5,0.8,0.2,0.9,1.5,14.3
9,Derrick White,SG,6-4,190.0,"July 2, 1994",usUS,7,"Colorado-Colorado Springs,Colorado",BOS,https://www.basketball-reference.com/players/w/whitede01.html,2024-25,30,BOS,NBA,61.0,61.0,33.7,5.6,12.6,0.447,3.5,8.9,0.391,2.1,3.7,0.583,0.585,1.8,2.1,0.853,0.9,3.4,4.3,4.3,0.9,1.0,1.6,1.8,16.5
0,Jayson Tatum,PF,6-8,210.0,"March 3, 1998",usUS,7,Duke,BOS,https://www.basketball-reference.com/players/t/tatumja01.html,2024-25,26,BOS,NBA,60.0,60.0,36.5,9.2,20.3,0.455,3.6,10.2,0.355,5.6,10.1,0.556,0.544,5.1,6.3,0.804,0.7,8.2,8.9,5.8,1.1,0.5,2.9,2.2,27.2
40,Luke Kornet,C,7-2,250.0,"July 15, 1995",usUS,7,Vanderbilt,BOS,https://www.basketball-reference.com/players/k/kornelu01.html,2024-25,29,BOS,NBA,56.0,10.0,17.7,2.1,3.2,0.663,0.0,0.0,0.0,2.1,3.2,0.667,0.663,0.9,1.3,0.718,2.4,2.6,5.0,1.7,0.5,1.0,0.5,1.6,5.2
