No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,URL,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,Trae Young,0,6-1,164.0,"September 19, 1998",usUS,6,Oklahoma,ATL,https://www.basketball-reference.com/players/y/youngtr01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dyson Daniels,0,6-8,199.0,"March 17, 2003",auAU,2,,ATL,https://www.basketball-reference.com/players/d/daniedy01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Onyeka Okongwu,0,6-8,235.0,"December 11, 2000",usUS,4,USC,ATL,https://www.basketball-reference.com/players/o/okongon01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Zaccharie Risacher,0,6-8,200.0,"April 8, 2005",esES,R,,ATL,https://www.basketball-reference.com/players/r/risacza01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Clint Capela,0,6-10,240.0,"May 18, 1994",chCH,10,,ATL,https://www.basketball-reference.com/players/c/capelcl01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Garrison Mathews,0,6-5,215.0,"October 24, 1996",usUS,5,Lipscomb,ATL,https://www.basketball-reference.com/players/m/mathega01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Vit Krejci,0,6-8,195.0,"June 19, 2000",czCZ,3,,ATL,https://www.basketball-reference.com/players/k/krejcvi01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jalen Johnson,0,6-9,220.0,"December 18, 2001",usUS,3,Duke,ATL,https://www.basketball-reference.com/players/j/johnsja01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Keaton Wallace(TW),0,6-3,195.0,"February 26, 1999",usUS,R,Texas-San Antonio,ATL,https://www.basketball-reference.com/players/w/wallake01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Larry Nance Jr.,0,6-8,245.0,"January 1, 1993",usUS,9,Wyoming,ATL,https://www.basketball-reference.com/players/j/jr.lala01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Dominick Barlow,0,6-9,221.0,"May 26, 2003",usUS,2,,ATL,https://www.basketball-reference.com/players/b/barlodo01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mouhamed Gueye,0,6-11,210.0,"November 9, 2002",snSN,1,Washington State,ATL,https://www.basketball-reference.com/players/g/gueyemo01.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
