No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
11,Trae Young,PG,6-1,164,"September 19, 1998",usUS,6,Oklahoma,ATL
5,Dyson Daniels,SG,6-8,199,"March 17, 2003",auAU,2,,ATL
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",usUS,4,USC,ATL
10,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",esES,R,,ATL
15,Clint Capela,C,6-10,240,"May 18, 1994",chCH,10,,ATL
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",usUS,5,Lipscomb,ATL
27,Vit Krejci,PG,6-8,195,"June 19, 2000",czCZ,3,,ATL
1,Jalen Johnson,SF,6-9,220,"December 18, 2001",usUS,3,Duke,ATL
2,Keaton Wallace(TW),PG,6-3,195,"February 26, 1999",usUS,R,Texas-San Antonio,ATL
22,Larry Nance Jr.,PF,6-8,245,"January 1, 1993",usUS,9,Wyoming,ATL
0,Dominick Barlow,SF,6-9,221,"May 26, 2003",usUS,2,,ATL
18,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",snSN,1,Washington State,ATL
3,Caris LeVert,SG,6-6,205,"August 25, 1994",usUS,8,Michigan,ATL
14,Terance Mann,SG,6-5,215,"October 18, 1996",usUS,5,Florida State,ATL
20,Georges Niang,PF,6-7,230,"June 17, 1993",usUS,8,Iowa State,ATL
4,Kobe Bufkin,SG,6-4,195,"September 21, 2003",usUS,1,Michigan,ATL
29,Daeqwon Plowden(TW),SG,6-6,215,"August 29, 1998",usUS,R,Bowling Green,ATL
,Jacob Toppin(TW),SF,6-9,205,"May 8, 2000",usUS,1,"Rhode Island,Kentucky",ATL
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",usUS,4,Oregon,BOS
9,Derrick White,SG,6-4,190,"July 2, 1994",usUS,7,"Colorado-Colorado Springs,Colorado",BOS
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",usUS,7,Duke,BOS
40,Luke Kornet,C,7-2,250,"July 15, 1995",usUS,7,Vanderbilt,BOS
30,Sam Hauser,PF,6-8,215,"December 8, 1997",usUS,3,"Marquette,Virginia",BOS
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",usUS,8,California,BOS
42,Al Horford,C,6-9,240,"June 3, 1986",doDO,17,Florida,BOS
88,Neemias Queta,C,7-0,245,"July 13, 1999",ptPT,3,Utah State University,BOS
4,Jrue Holiday,PG,6-4,205,"June 12, 1990",usUS,15,UCLA,BOS
27,Jordan Walsh,PF,6-7,205,"March 3, 2004",usUS,1,Arkansas,BOS
8,Kristaps PorziÅÄ£is,C,7-2,240,"August 2, 1995",lvLV,8,,BOS
26,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",usUS,4,Michigan State,BOS
13,Drew Peterson(TW),PF,6-9,205,"November 9, 1999",usUS,1,"Rice University,USC",BOS
55,Baylor Scheierman,SG,6-6,205,"September 26, 2000",usUS,R,"South Dakota State,Creighton",BOS
20,JD Davison(TW),PG,6-1,195,"October 3, 2002",usUS,2,Alabama,BOS
12,Torrey Craig,SF,6-7,221,"December 19, 1990",usUS,7,USC Upstate,BOS
44,Miles Norris(TW),PF,6-10,220,"April 15, 2000",usUS,R,"Oregon,City College of San Francisco,UC Santa Barbara",BOS
22,Jalen Wilson,PF,6-8,225,"November 4, 2000",usUS,1,Kansas,BRK
45,Keon Johnson,SG,6-5,186,"March 10, 2002",usUS,3,Tennessee,BRK
33,Nic Claxton,C,6-11,215,"April 17, 1999",usUS,5,Georgia,BRK
"1, 8",Ziaire Williams,SF,6-9,215,"September 12, 2001",usUS,3,Stanford,BRK
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",usUS,5,"Pitt,UNC",BRK
13,Tyrese Martin,SG,6-6,215,"March 7, 1999",usUS,1,"Rhode Island,UConn",BRK
20,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",usUS,3,UNC,BRK
21,Noah Clowney,PF,6-10,210,"July 14, 2004",usUS,1,Alabama,BRK
9,Trendon Watford,PF,6-9,240,"November 9, 2000",usUS,3,LSU,BRK
4,Reece Beekman(TW),PG,6-1,190,"October 8, 2001",usUS,R,Virginia,BRK
24,Cam Thomas,SG,6-4,210,"October 13, 2001",jpJP,3,LSU,BRK
12,Tosan Evbuomwan(TW),SF,6-8,219,"February 16, 2001",ukUK,1,Princeton,BRK
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",usUS,9,Ohio State,BRK
0,Dariq Whitehead,SF,6-7,220,"August 1, 2004",usUS,1,Duke,BRK
27,Maxwell Lewis,SF,6-7,195,"July 27, 2002",usUS,1,Pepperdine,BRK
,De'Anthony Melton,PG,6-2,200,"May 28, 1998",usUS,6,USC,BRK
,Tyson Etienne(TW),G,6-2,203,"September 17, 1999",usUS,R,Wichita State,BRK
10,Josh Green,SG,6-5,200,"November 16, 2000",auAU,4,Arizona,CHO
14,Moussa DiabatÃ©,C,6-11,210,"January 21, 2002",frFR,2,Michigan,CHO
30,Seth Curry,SG,6-1,185,"August 23, 1990",usUS,10,"Liberty,Duke",CHO
0,Miles Bridges,PF,6-7,225,"March 21, 1998",usUS,5,Michigan State,CHO
31,Tidjane SalaÃ¼n,PF,6-9,207,"August 10, 2005",frFR,R,,CHO
8,Nick Smith Jr.,SG,6-2,185,"April 18, 2004",usUS,1,Arkansas,CHO
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",usUS,4,,CHO
5,Mark Williams,C,7-0,241,"December 16, 2001",usUS,2,Duke,CHO
3,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",usUS,5,"Oral Roberts,Tulsa",CHO
24,Brandon Miller,SF,6-9,201,"November 22, 2002",usUS,1,Alabama,CHO
67,Taj Gibson,C,6-9,232,"June 24, 1985",usUS,15,USC,CHO
25,KJ Simpson(TW),PG,6-0,189,"August 8, 2002",usUS,R,Colorado,CHO
2,Grant Williams,PF,6-6,236,"November 30, 1998",usUS,5,Tennessee,CHO
23,Tre Mann,PG,6-3,178,"February 3, 2001",usUS,3,Florida,CHO
7,Damion Baugh(TW),SG,6-4,194,"August 3, 2000",usUS,R,"Memphis,TCU",CHO
11,Jusuf NurkiÄ,C,7-0,290,"August 23, 1994",baBA,10,,CHO
12,Josh Okogie,SG,6-4,213,"September 1, 1998",ngNG,6,Georgia Tech,CHO
9,Wendell Moore Jr.(TW),SG,6-5,213,"September 18, 2001",usUS,2,Duke,CHO
22,Malachi Flynn,PG,6-1,175,"May 10, 1998",usUS,4,"Washington State,San Diego State",CHO
14,Matas Buzelis,SF,6-10,209,"October 13, 2004",usUS,R,,CHI
15,Julian Phillips,SF,6-8,198,"November 5, 2003",usUS,1,Tennessee,CHI
3,Josh Giddey,PG,6-8,210,"October 10, 2002",auAU,3,,CHI
0,Coby White,SG,6-5,195,"February 16, 2000",usUS,5,UNC,CHI
25,Dalen Terry,SG,6-7,195,"July 12, 2002",usUS,2,Arizona,CHI
9,Nikola VuÄeviÄ,C,6-10,260,"October 24, 1990",chCH,13,USC,CHI
7,Jalen Smith,C,6-10,215,"March 16, 2000",usUS,4,Maryland,CHI
11,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",usUS,3,Illinois,CHI
